국적별,2018년09월,2018년10월,2018년11월,2018년12월,2019년01월,2019년02월,2019년03월,계,
아시아주,"1,027,937","1,227,093","1,112,960","1,110,023","901,838","1,017,208","1,275,790","7,672,849",
일  본,"247,847","290,468","299,978","258,521","206,526","213,200","375,119","1,891,659",
중  국,"434,595","475,307","404,256","416,279","392,814","453,379","487,623","3,064,253",
대  만,"87,351","99,972","88,165","87,308","87,954","94,559","98,510","643,819",
필리핀,"33,427","52,016","44,406","42,650","30,473","29,294","38,701","270,967",
홍  콩,"49,649","61,473","53,790","59,546","35,896","51,312","46,068","357,734",
태  국,"34,298","59,941","46,981","54,026","41,334","39,220","53,100","328,900",
말레이시아,"28,613","40,758","45,710","55,665","22,065","27,484","40,789","261,084",
싱가포르,"15,346","21,787","25,981","40,465","9,855","9,792","22,105","145,331",
인도네시아,"18,236","24,931","24,176","26,089","18,842","18,115","25,626","156,015",
인  도,"11,393","12,683","10,247","8,440","8,671","8,309","10,646","70,389",
베트남,"37,481","55,380","40,571","29,844","20,183","42,181","46,991","272,631",
미얀마,"5,509","6,083","5,306","5,492","5,289","5,367","7,021","40,067",
몽  골,"11,100","10,729","9,464","8,202","9,785","9,176","8,724","67,180",
스리랑카,"1,720","1,742","1,045","1,080","1,287","1,516","1,494","9,884",
파키스탄,"1,329","1,220","1,015",953,"1,032","1,439","1,282","8,270",
방글라데시,"1,584","1,557","1,270","1,216","1,247","1,656","1,704","10,234",
아시아주 기타,"8,459","11,046","10,599","14,247","8,585","11,209","10,287","74,432",
중 동,"21,159","22,634","18,081","15,320","15,112","16,878","22,850","132,034",
우즈베키스탄,"7,959","8,463","7,142","5,513","5,754","7,149","8,405","50,385",
터  키,"2,346","2,593","2,158","1,908","1,785","1,765","2,532","15,087",
이스라엘,"1,955","1,774","1,229",881,805,761,"1,613","9,018",
이  란,568,481,229,214,184,329,382,"2,387",
카자흐스탄,"4,327","4,768","3,538","3,107","3,574","3,774","4,915","28,003",
요르단,252,310,281,167,183,205,244,"1,642",
사우디아라비아,819,873,632,686,518,542,693,"4,763",
이라크,268,291,224,157,126,194,286,"1,546",
중 동 기타,"2,665","3,081","2,648","2,687","2,183","2,159","3,780","19,203",
미 주,"101,795","127,001","99,759","90,495","80,921","76,380","110,027","686,378",
미  국,"78,826","98,103","77,876","71,023","62,737","57,732","84,275","530,572",
캐나다,"15,667","20,187","15,205","14,083","12,460","13,551","18,670","109,823",
브라질,"1,708","1,973","1,594","1,414","1,605","1,354","1,673","11,321",
멕시코,"1,987","2,679","2,146","1,859","1,853","1,435","2,201","14,160",
칠  레,589,554,371,325,407,415,452,"3,113",
아르헨티나,437,544,313,238,354,252,401,"2,539",
콜롬비아,618,700,576,363,329,335,582,"3,503",
페  루,393,459,377,243,251,264,335,"2,322",
베네수엘라,188,157,156,154,150,138,173,"1,116",
에콰도르,240,273,241,126,122,174,265,"1,441",
쿠  바,28,15,4,16,6,9,12,90,
미 주 기타,"1,114","1,357",900,651,647,721,988,"6,378",
구 주,"84,212","102,375","80,055","64,829","70,038","61,549","87,805","550,863",
러시아(연방),"23,388","28,153","23,380","23,008","25,194","20,001","27,992","171,116",
독  일,"10,760","12,635","9,458","6,634","6,850","6,866","11,142","64,345",
영  국,"10,753","13,813","10,067","7,787","10,148","7,876","12,813","73,257",
프랑스,"7,944","10,813","7,668","5,814","5,574","5,830","7,469","51,112",
네덜란드,"3,156","3,717","3,107","2,310","2,269","2,357","2,898","19,814",
우크라이나,"2,123","2,645","2,374","1,847","2,262","2,080","2,368","15,699",
이탈리아,"4,482","4,934","4,340","2,603","2,731","2,384","3,583","25,057",
불가리아,585,584,466,358,431,326,455,"3,205",
스웨덴,"1,523","2,287","1,546","1,206",982,927,"1,458","9,929",
폴란드,"2,168","2,139","1,913","1,292","1,324","1,266","1,960","12,062",
덴마크,"1,045","1,483",909,672,751,694,"1,001","6,555",
그리스,793,902,774,653,775,607,803,"5,307",
스위스,"1,667","1,981","1,192",831,747,877,"1,224","8,519",
노르웨이,"1,053","1,317","1,091",745,801,577,858,"6,442",
스페인,"2,551","2,938","2,480","1,476","1,368","1,373","2,007","14,193",
루마니아,"1,047","1,301",921,712,872,771,"1,044","6,668",
벨기에,"1,146","1,399","1,007",766,709,654,"1,400","7,081",
구 주 기타,"8,028","9,334","7,362","6,115","6,250","6,083","7,330","50,502",
대양주,"19,151","18,648","15,170","20,978","17,624","10,622","15,144","117,337",
오스트레일리아,"15,310","14,907","11,711","17,174","14,285","8,331","12,263","93,981",
뉴질랜드,"3,281","3,233","2,840","3,416","2,725","1,863","2,451","19,809",
키리바시,49,98,98,79,59,77,82,542,
피  지,321,214,327,214,472,237,194,"1,979",
대양주 기타,190,196,194,95,83,114,154,"1,026",
아프리카주,"4,748","5,500","3,837","3,559","3,690","4,667","4,743","30,744",
남아프리카 공화국,"1,047","1,046",700,853,"1,000","1,191",945,"6,782",
나이지리아,238,263,176,159,174,287,228,"1,525",
이집트,466,585,474,387,390,437,513,"3,252",
아프리카주 기타,"2,997","3,606","2,487","2,160","2,126","2,752","3,057","19,185",
기 타,"19,602","24,581","20,528","18,915","15,580","14,498","19,282","132,986",
교포,"19,540","24,518","20,456","18,838","15,526","14,459","19,225","132,562",
미상,62,63,72,77,54,39,57,424,
전 체,"1,278,604","1,527,832","1,350,390","1,324,119","1,104,803","1,201,802","1,535,641","9,323,191",